Alcohol_Percent,Link,Name,Price_Pound,Region,Volume
56.7% abv,https://www.whiskyshop.com/darkness-balmenach-18-year-old-moscatel-cask,Darkness Balmenach 18 Year Old Moscatel Cask,89.95,Speyside,50cl
55.9% abv,https://www.whiskyshop.com/darkness-dalmore-14-year-old-oloroso-cask,Darkness Dalmore 14 Year Old Oloroso Cask,128.95,Highland,50cl
48.7% abv,https://www.whiskyshop.com/rare-find-speyside-1982-39-year-old,Rare Find Speyside 1982 39 Year Old,385.00,Speyside,70cl
53.3% abv,https://www.whiskyshop.com/darkness-auchroisk-21-year-old-moscatel-cask,Darkness Auchroisk 21 Year Old Moscatel Cask,119.95,Speyside,50cl
55.8% abv,https://www.whiskyshop.com/balblair-2006-78-the-w-club-exclusive,Balblair 2006 #78,185.00,Highland,70cl
52.6% abv,https://www.whiskyshop.com/darkness-caperdonich-24-year-old-pedro-ximinez-cask,Darkness Caperdonich 24 Year Old Pedro Ximinez Cask,335.95,Speyside,50cl
56.8% abv,https://www.whiskyshop.com/darkness-benriach-7-year-old-oloroso-cask,Darkness Benriach 7 Year Old Oloroso Cask,49.95,Speyside,50cl
51.1% abv,https://www.whiskyshop.com/darkness-aultmore-23-year-old-oloroso-cask,Darkness Aultmore 23 Year Old Oloroso Cask,99.95,Speyside,50cl
55.6% abv,https://www.whiskyshop.com/darkness-glen-elgin-12-year-old-moscatel-cask,Darkness Glen Elgin 12 Year Old Moscatel Cask,64.95,Speyside,50cl
46.3% abv,https://www.whiskyshop.com/fiona-macleod-33-year-old-the-character-of-islay-whisky-company,Fiona Macleod 33 Year Old The Character of Islay Whisky Company,399.95,Islay,70cl
48% abv,https://www.whiskyshop.com/grace-ile-25-year-old-the-character-of-islay-whisky-company,Grace Ile 25 Year Old The Character of Islay Whisky Company,299.95,Islay,70cl
54.8% abv,https://www.whiskyshop.com/darkness-deanston-20-year-old-palo-cortado,Darkness Deanston 20 Year Old Palo Cortado Cask,129.95,Highland,50cl
40% abv,https://www.whiskyshop.com/green-isle,Green Isle,29.95,Islay,70cl
